_id,writer,rating,contents
658b77e905022c3cd5150d75,이정우,2.0,대한민국이 중고거래를 중심으로 돌아가는듯한 오프닝만 봐도 현실성을 살리려 했다는 감독의 주장에 몸서리쳐진다.
658b77e905022c3cd5150d76,sj,2.0,혹시 당근사기 당하고 영화를 만드신 겁니까?
658b77e905022c3cd5150d77,이송원,4.5,기대이상의 재미다. 솔직히 이렇게 재밌을줄은 몰랐다. 배우들의 탄탄한연기 끝까지 긴장감을 놓을수없는 멋진영화였다.
658b77e905022c3cd5150d78,지극히 개인적인.,3.0,후반부 밑도 끝도 없는 전개에 당황스러웠다.
658b77e905022c3cd5150d79,임돌선,2.0,충분히 무서운 이야기이고 경각심을 가져야 할 소재다. 다만 이를 어떻게 다룰지에 대한 고민이 부족해보인다. 쓸데 없이 사람은 죽어나가고 부서지는 사물은 너무 많다. 이건 매우 중요한 이야기이고 심각한 일이란 것을 목청껏 소리치는데 심드렁해진다. 억지로 이야기를 이어가는 느낌. 그래서 어떻게 살아가야 하나요.
658b77e905022c3cd5150d7a,소금,1.0,당근마켓을 떨어뜨렸을 뿐인데
658b77e905022c3cd5150d7b,싱요미,2.0,촌스럽고 올드한 스릴러. 한 7년전에 봤으면 좋았을지도.
658b77e905022c3cd5150d7c,포녹,3.0,장르적 서스페스만 믿는 안일함.
658b77e905022c3cd5150d7d,붉은 돼지,3.0,"1. 올드한 연출 현실적 플롯\n2. 물건 확인 후, 공공장소에서만 당근 하는 걸로"
658b77e905022c3cd5150d7e,민:드레,2.5,불특정인에게 표적이 되는 시대에서 마주하는 공포.
658b77e905022c3cd5150d7f,도비,2.0,"1. 보안이 뚫린 집에 수현이 아무렇지 않게 지내는 모습에서 감독이 얼마나 캐릭터의 심리를 이해하지 못하고 대충 그려냈는지 알 수 있다. 적어도 열쇠 수리공이라도 불러 추가로 잠금장치를 달아두는 장면이라도 있었어야…\n\n2. 살인범의 동기를 도무지 알 수가 없다. 이미 음지에서 해킹으로 돈을 벌만큼 벌 수 있는 사람이 어떤 돌발 변수가 있을지 모르는 사람을 타겟으로 살인하려는 리스크를 왜 감당하려 하는 것인지 모르겠다. 해킹할 머리는 있지만 정작 자취방 거주자에게서 얻어낼 수 있는 손익은 따지지 못하는 게 모순적.\n\n3. 쓸데없이 많이 죽이고 관객을 절망으로 몰아붙이려고 애를 쓰지만 그럴수록 반감만 생긴다.\n\n4. 어째뜬 심장이 쫄깃하단 소리라도 들어보려고 사운드 연출로 애쓰지만, 그것도 캐릭터의 심리가 납득이 될 때나 의미 있는 연출이다. 여자 캐릭터가 이해되지 않는 시점에서부턴 잡음으로 추락해버렸다.\n\n5. 어떻게든 캐릭터들을 움직이게 하려고 애쓴 덕분에 서사의 당위성은 개나 줘버린… 귀신의 집도 이 영화보단 더 개연성 있을 듯. 배우들이 아깝다.\n\n결론 : 고구마도 이 영화보다는 꿀떡꿀떡 넘어갈 것이다."
658b77e905022c3cd5150d80,LeeCh,2.5,"전반전: 가끔 초점이 흐려지는 느낌도 들지만 꽤나 쫄깃하게 짜여진 현실 밀착 스릴러\n후반전: 장르의 관습에 매몰되어, 작위적이다 못해 강박까지 느껴질만큼 멍청한 전개"
658b77e905022c3cd5150d81,이준호,2.5,후반부를 제외하고는 잘 이끌어가는 긴장감.\n.\n.\n.\n.\n.\n.\n+ (후반부 제외) 밀도 높은 긴장감\n+ .. 카체이싱\n+ 바보같지 않은 주인공\n- 개연성까지 따진다면\n- 후반부
658b77ea05022c3cd5150d82,이재찬,1.5,카스 17년산 만들 일 있냐
658b77ea05022c3cd5150d83,DK,,[23.08.30. 개봉]\n+ 초기제목은 ‘오픈 더 도어‘
658b77ea05022c3cd5150d84,깐설탕,2.0,"주인공은 바보인데, 범인은 황당할 만큼 전지전능하다. 위기를 만드는 방법 중에서 최악."
658b77ea05022c3cd5150d85,TK Lee,4.0,나 오늘 당근 했는데. 무섭다.
658b77ea05022c3cd5150d86,Niknik,2.5,남이 쓰던 제픔을 중고로 구매해서 써도 큰 불만이 없는 성향이라 이미 쓰던 연출을 다시 재구성해서 봐도 별 불만이 없는 사람이라면 시간 때우기용으로 그럭저럭.
658b77ea05022c3cd5150d87,방쌤,3.0,"극장을 나서자마자 스마트폰을 꺼내 ""당근 마켓"" 앱을 삭제했다..ㅋㅋ"
658b77ea05022c3cd5150d88,임판호,3.0,틀에 박힌 공식에서도 제몫의 배를 해내는 신혜선이란 배우의 진가.
658b77ea05022c3cd5150d89,안톤쉬거,1.5,왜 저렇게까지 해야 하는지에 대한 의문이 영화를 다 보고 난 후에도 모르겠음. 그리고 긴장감 느껴지는 장면마다 소리를 너무 키우는데 귀 따가움…;
658b77ea05022c3cd5150d8a,udoong,2.0,‘대충 이럴 것 같아’를 예상하고 만든 시나리오.
658b77ea05022c3cd5150d8b,짱유나,2.0,집좀 들어가지마..
658b77ea05022c3cd5150d8c,오늘언니,2.5,간만에 이렇게까지 공포를 느껴본적이 있나 싶을 정도로 무섭고 끔찍했음..
658b77ea05022c3cd5150d8d,N/A,2.0,혼자 사는 여성분들은 보면 PTSD각 ㅠ
658b77ea05022c3cd5150d8e,Breeze,3.0,나~ 당근하는데 ;;;
658b77ea05022c3cd5150d8f,유지철,2.5,여주의 연기력 말고는 딱히.
658b77ea05022c3cd5150d90,최진홍,3.5,혼자 사는 여성들이 그 어느 곳에서도 안전하다고 느낄 수 없는 현실 그 자체가 공포다. #메가박스코엑스
658b77ea05022c3cd5150d91,idaein,2.0,갈수록 뻔하고 지지부진한 전개도 그렇고 효과음 또한 너무 시끄럽다.
658b77ea05022c3cd5150d92,삼락,2.0,끝으로 갈수록 인물들이 이해되지 않는 영화
658b77ea05022c3cd5150d93,김용규,2.5,군데군데 구멍 난 개연 속 적당한 긴장감.
658b77ea05022c3cd5150d94,엉망잔칭이요,2.0,흥미진진하게 이끌어 갔던 초중반부에 비해 급격히 힘이빠지는 후반부..킬링타임용으론 괜찮다
658b77ea05022c3cd5150d95,규민,2.0,"장르만을 몰아치며 포기하는 개연성에도 쾌감없는 결말 그리고 이상하리만치 촌스럽게 느껴지는 인물들의 무매력에 관객들을 향한 타겟 실패. (230823 CGV 회원시사회, 그래도 중반까진 괜찮았는데 금새록 나온 부분부터 노잼에 그저 자극적이기만 하다. 그리고 배우들의 캐릭터라이징이나 연기디렉팅이 너무 올드하게 느껴지는 이질감에 후반으로 갈수록 연출도 별로여서 보는 내내 웃음만…)"
658b77ea05022c3cd5150d96,Kim.K.Y,1.5,사람 죽이는 살인범보다..\n대책없이 범인 자극하는 주인공의 승질머리가 더 짜증나서 짜증난다.
658b77ea05022c3cd5150d97,Hoon,2.0,"아오, 범인과의 격투 장면 때매 개빡친다.\n도대체 언제까지 저런 어이 없는 ㅂㅅ같은 스타일을 고집할 것인가."
658b77ea05022c3cd5150d98,라이너스,2.0,"시의성을 고려했다는 가벼운 기획, 얕은 고민으로 쉽게 쓰여진 시나리오, 구색만 맞추는 안일한 연출. (참… 위험하다.)\n-\n‘대충, 적당하게 찍어내면 뭐~ 어느 정도 스코어는 나오지 않겠어?’라는 생각이… 큰! 착각이라고 백번 의심을 해야할텐데… (개봉하지 못한 창고 영화의 대다수가  이렇다면… 암울하겠지요.)"
658b77ea05022c3cd5150d99,이혜원,3.0,"신혜선♥\n강태오♥\nㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ\n피해자가 너덜너덜해질 때까지 당하기만 하다보니 리듬은 따로 없고 그냥 스릴감 공포감만 반복되어 살짝 고구마이긴 하나\n결국 피해자와 경찰이 공조해 반격하기 때문에 다행이었다.\n그것이 알고 싶다 에서 그런 놈들의 이 수법 들었음.\n사기까지는 아니더라도 싸게 사서 바로 되파는 사람의 덜미는 내가 잡은 적이 있는데\n미친 사람처럼 협박과 악담을 해대는 캐릭터였다. 내 가족까지 저주하며 온 화력을 쏟아붓던데 그런 사람이 더 지능적이고 체력적으로도 한참 우월하면\n이 영화처럼 피해가 커질 수도.\n\n신혜선,강태오는 반가웠으나 영화가 꽤 우울했다."
658b77ea05022c3cd5150d9a,지구별여행가,2.0,개연성도 중고거래로 파셨어요?
658b77ea05022c3cd5150d9b,johnpaulmacqueen,1.5,예상보단 재미난…그래도 재미없는 섭섭한 영화.
658b77ea05022c3cd5150d9c,YongJo,3.0,"언제든 충분히 현실에서 있을 수 있는 이야기. 그래서 공포스럽고, 그래서 비현실적인 영화"
658b77ea05022c3cd5150d9d,장민아,2.5,주연배우 3명만 열일한 영화\n그래도 주인공에게 몰입하면서 보면 긴장감 넘치게 볼 수 있다
658b77ea05022c3cd5150d9e,심슨,3.0,"영화 속 다른 모든 게 현실적이지만, 유일하게 비현실적인 이야기 전개"
658b77ea05022c3cd5150d9f,심준영,보고싶어요,어떤 영화 커뮤니티에서 T는 보지말아야 할 영화라는 평을 들었다. 왓챠피디아에서도 비슷한 평이 있는 거 보니 과몰입 유도 영화인듯하다.
658b77ea05022c3cd5150da0,nono,2.5,"그래도 이것저것 새로운 시도를 했지만 이 작품도 결국 후반부로 가면 갈수록 매년 나오는 흔한 스릴러 영화 A가 되어버린다\n\n스마트폰을 떨어뜨렸을 뿐인데가 생각났지만, 개인적으론 그 작품이 더 나은듯"
658b77ea05022c3cd5150da1,lackee,2.0,우당탕탕 한국형 양산 스릴러
658b77eb05022c3cd5150da2,글동이,2.0,"초기 사건에 별 관심 없는 경찰\n옆에서 위로해주는 단짝 친구(언니)\n수상한척 하지만 별거아닌 주변인물들\n\n중고거래라는 매개체와 배우들만 다르지\n하나같이 어디서 본듯한 연출, 캐릭터, 장면\n\n차라리 타겟을 장미란 같은 캐릭터에게 잘못 잡아 줘 터지기라도 했으면 시원은 했을텐데"
658b77eb05022c3cd5150da3,임수연 기자 봇,2.5,디지털 시대 새로운 종류의 공포를 소재 삼은 영화들이 오히려 신선함을 잃는 딜레마
658b77eb05022c3cd5150da4,좀비,3.5,"8/22 영등포 CGV 시사회\n\n당근에서 실거주지, 실제 번호를 까지 말라고 강조하는 이유.\n\n요즘 같이 미친 사람이 매일 뉴스거리가 되는 흉흉한 때에 더 와닿을만한\n현실 공포가 아닐까 싶다.\n솔직히 요즘 귀신보다 사람이 더 무서운 때는 맞으니까...\n\n김성균 배우님이 경찰 역할이 아니라 악역이었어도\n영화 이웃사람 느낌 나면서 더 쫄렸을지도 모르겠단 생각도 살짝 들었다."
658b77eb05022c3cd5150da5,무비라마,1.0,어디까지 별로일까?하면서 본 영화
658b77eb05022c3cd5150da6,JEYA,3.0,내... 당근하러 가기 무습다..
658b77eb05022c3cd5150da7,장 겨 울,2.5,자극해 볼 용기에 박수를
658b77eb05022c3cd5150da8,조정희 영화평론자,2.5,"타겟\n\n""스마트폰을 떨어뜨렸을 뿐인데"" 에서 본 듯한 내용이지만 소재의 신선도 보다는 스릴러 장르의 본질에 더 충실한 사이버 범죄 스릴러."
658b77eb05022c3cd5150da9,늘하른푸,1.5,또 하나의 뇌절
658b77eb05022c3cd5150daa,Axllow,1.5,중고거래를 자주 하는 입장으로 흥미를 느낄수밖에 없는 스토리지만 모든 상황이 너무 극단적이다. 범인은 도대체 무슨일을 하던놈이길래 대놓고 길거리에서 경찰을 폭행해도 잡히지않고 CCTV에도 안잡히며 살인을해도 단서조차 잡지못한다. 저정도 두뇌와 범죄능력을 가지고있는데 고작하는게 중고거래 사기;; 절대 잡히지 않는수준의 실력이지만 중고거래금액은 소소한편이다. 도로 한복판에서 사람이 죽을정도로 큰사고 났지만 범인은 유유히 거리에서 도망친다. 근데 그걸 진짜로 경찰이 놓치는게 이영화의 하이라이트다. 짧은영화이다 보니 모든상황이 극단적인게 매우 아쉽다. 오히려 드라마로 나와서 차근차근 스토리를 풀어갔으면 좋았을것같다.
658b77eb05022c3cd5150dab,별빠,2.5,"중고거래 사기, 범죄의 확장성, 사생활 침해의 공포, 사회적 이슈의 활용, 프라이버시의 「서치」, 초긴장 스릴을 줄 것인가, 깜놀 반전을 노릴 것인가, 효율적으로 안배 못한 내러티브의 어색한 링크, 개성 없는 스타일로 도식화된 국내 상업영화의 안이해진 안타까운 목표."
658b77eb05022c3cd5150dac,림군이,2.0,활짝 열어놓고 방어 모드.
658b77eb05022c3cd5150dad,BeBe (재미감별사),2.5,무서워서 중고거래하겠나 이거??
658b77eb05022c3cd5150dae,라씨에이,3.5,스포일러가 있어요!! 보기
658b77eb05022c3cd5150daf,최현진,2.0,도어락 비밀번호까지 노출되었음에도 꿋꿋이 집에서 잠을 청하고 범인을 도발하는 주인공의 대담함에 경의를.
658b77eb05022c3cd5150db0,기록지향적생각아카이브,2.5,어떤 관객을 타겟으로 할지 정하지 못했나\n\n'당근마켓을 거래했을 뿐인데'
658b77eb05022c3cd5150db1,Limousine,3.0,소재는 2020년대인데 내용은 2010년대에 머무르는 한국 스릴러의 참상\n\n묘하게 오바스러운....
658b77eb05022c3cd5150db2,ann,1.5,신혜선이 영화 내내 아방방... 함\n스릴러라 도파민이 도는 건지 울화통 터져서 도는 건지 알 수가 없음
658b77eb05022c3cd5150db3,범블러뷰,3.5,아주 현실적인 공포
658b77eb05022c3cd5150db4,박평이정성진동식일베듀냐(ebsi),0.5,Delete
658b77eb05022c3cd5150db5,Seung Cheol Lee,1.5,타카건으로 더 쐈어야 하는데 아쉽다
658b77eb05022c3cd5150db6,미드나잇인파리,2.5,"그게 내가 될 수 있어서, 내가 '타겟'이 될 수도 있어서"
658b77eb05022c3cd5150db7,한서준,2.5,뻔한 클리셰가 많아서 보는이가 마치 예언자가 된거같은 기분을 느낄수있다..\n그래도 갓혜선이니까 .5는 더 주는걸로
658b77eb05022c3cd5150db8,낭만취객,2.5,'중고 거래는 각별히 주의를 해라.'\n현실감 느껴지는 소재\n너무나 상투적인 극의 전개
658b77eb05022c3cd5150db9,므니아,1.5,영화 완성도는 떨어지는데 혼자 사는 여성의 공포에 대해선 잘 다룬 것 같다.
